[2025-04-22T10:31:45.125-0300] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-22T10:31:45.140-0300] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [queued]>
[2025-04-22T10:31:45.148-0300] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [queued]>
[2025-04-22T10:31:45.148-0300] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-04-22T10:31:45.167-0300] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): integracao_api> on 2025-04-22 13:31:35.667282+00:00
[2025-04-22T10:31:45.173-0300] {standard_task_runner.py:72} INFO - Started process 17002 to run task
[2025-04-22T10:31:45.178-0300] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'integracao_api', 'integracao_api', 'manual__2025-04-22T13:31:35.667282+00:00', '--job-id', '91', '--raw', '--subdir', 'DAGS_FOLDER/dag_integration.py', '--cfg-path', '/tmp/tmpkj2173p9']
[2025-04-22T10:31:45.179-0300] {standard_task_runner.py:105} INFO - Job 91: Subtask integracao_api
[2025-04-22T10:31:45.217-0300] {task_command.py:467} INFO - Running <TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [running]> on host jonathan-brito
[2025-04-22T10:31:45.300-0300] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data_team' AIRFLOW_CTX_DAG_ID='integracao_api' AIRFLOW_CTX_TASK_ID='integracao_api' AIRFLOW_CTX_EXECUTION_DATE='2025-04-22T13:31:35.667282+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-22T13:31:35.667282+00:00'
[2025-04-22T10:31:45.302-0300] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-04-22T10:57:01.980-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7100 de 9994)
[2025-04-22T10:57:19.269-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7200 de 9994)
[2025-04-22T10:57:39.705-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7300 de 9994)
[2025-04-22T10:58:01.238-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7400 de 9994)
[2025-04-22T10:58:24.240-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7500 de 9994)
[2025-04-22T10:58:44.939-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7600 de 9994)
[2025-04-22T10:59:05.726-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7700 de 9994)
[2025-04-22T10:59:34.804-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7800 de 9994)
[2025-04-22T10:59:58.401-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7900 de 9994)
[2025-04-22T11:00:21.591-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8000 de 9994)
[2025-04-22T11:00:41.775-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8100 de 9994)
[2025-04-22T11:01:04.087-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8200 de 9994)
[2025-04-22T11:01:23.569-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8300 de 9994)
[2025-04-22T11:01:42.535-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8400 de 9994)
[2025-04-22T11:02:04.462-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8500 de 9994)
[2025-04-22T11:02:26.739-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8600 de 9994)
[2025-04-22T11:02:48.036-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8700 de 9994)
[2025-04-22T11:03:10.513-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8800 de 9994)
[2025-04-22T11:03:34.644-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 8900 de 9994)
[2025-04-22T11:03:58.493-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 9000 de 9994)
[2025-04-22T11:04:20.910-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 9100 de 9994)
